epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,41.706,0.44792,0.56409,0.79342,0.99703,1,0.995,0.913,0.4214,0.39819,0.75969,0.0005744,0.0005744,0.0005744
74,42.2649,0.46633,0.6326,0.7718,0.99692,1,0.995,0.91958,0.4177,0.41256,0.76101,0.0005546,0.0005546,0.0005546
75,42.8294,0.48082,0.63291,0.79962,0.99671,1,0.995,0.91219,0.43061,0.40775,0.76485,0.0005348,0.0005348,0.0005348
76,43.3941,0.48354,0.56059,0.77482,0.99655,1,0.995,0.89301,0.43155,0.4116,0.76561,0.000515,0.000515,0.000515
77,43.9538,0.441,0.55062,0.79241,0.99706,1,0.995,0.89726,0.43821,0.39409,0.76504,0.0004952,0.0004952,0.0004952
78,44.5171,0.49715,0.55122,0.75238,0.99749,1,0.995,0.90833,0.45109,0.38892,0.76513,0.0004754,0.0004754,0.0004754
79,45.0829,0.45062,0.52332,0.78747,0.99767,1,0.995,0.90743,0.44545,0.38894,0.76467,0.0004556,0.0004556,0.0004556
80,45.6417,0.3628,1.58887,0.57857,0.9977,1,0.995,0.91157,0.44329,0.3883,0.76549,0.0004358,0.0004358,0.0004358
81,46.2038,0.44636,0.54707,0.79524,0.99787,1,0.995,0.90211,0.44979,0.40648,0.76453,0.000416,0.000416,0.000416
82,46.7713,0.44958,0.51605,0.79695,0.99786,1,0.995,0.90929,0.42753,0.40199,0.76373,0.0003962,0.0003962,0.0003962
83,47.3315,0.49976,0.51064,0.7981,0.9979,1,0.995,0.90721,0.41163,0.38884,0.76344,0.0003764,0.0003764,0.0003764
84,47.8936,0.4056,0.52062,0.76953,0.99781,1,0.995,0.92079,0.40812,0.38033,0.76148,0.0003566,0.0003566,0.0003566
85,48.4662,0.37815,0.49907,0.79153,0.99771,1,0.995,0.93614,0.38857,0.36514,0.7601,0.0003368,0.0003368,0.0003368
86,49.035,0.39542,0.50079,0.79343,0.99776,1,0.995,0.94108,0.37905,0.36774,0.76013,0.000317,0.000317,0.000317
87,49.6125,0.44326,0.51451,0.75101,0.99787,1,0.995,0.92228,0.38004,0.3733,0.75812,0.0002972,0.0002972,0.0002972
88,50.179,0.45647,0.51289,0.796,0.99799,1,0.995,0.92073,0.38493,0.35958,0.75794,0.0002774,0.0002774,0.0002774
89,50.7403,0.39355,0.51931,0.78563,0.99816,1,0.995,0.92322,0.38648,0.35448,0.75808,0.0002576,0.0002576,0.0002576
90,51.3002,0.48171,0.49145,0.78531,0.99832,1,0.995,0.90867,0.38252,0.35019,0.75826,0.0002378,0.0002378,0.0002378
91,52.1813,0.40337,0.72166,0.74697,0.99842,1,0.995,0.91465,0.38729,0.35083,0.75932,0.000218,0.000218,0.000218
92,52.7693,0.41966,0.56721,0.77857,0.99847,1,0.995,0.91523,0.41548,0.35384,0.762,0.0001982,0.0001982,0.0001982
93,53.3285,0.3807,0.50213,0.77884,0.9983,1,0.995,0.9142,0.42509,0.36787,0.76216,0.0001784,0.0001784,0.0001784
94,53.8892,0.40506,0.54865,0.80242,0.99816,1,0.995,0.92397,0.41973,0.36915,0.76127,0.0001586,0.0001586,0.0001586
95,54.4477,0.43983,0.52565,0.75833,0.99804,1,0.995,0.91967,0.41021,0.36962,0.75995,0.0001388,0.0001388,0.0001388
96,55.0077,0.45388,0.57747,0.77279,0.99814,1,0.995,0.91196,0.41122,0.36452,0.7604,0.000119,0.000119,0.000119
97,55.5681,0.39929,0.53382,0.77347,0.99796,1,0.995,0.90684,0.40265,0.36649,0.75966,9.92e-05,9.92e-05,9.92e-05
98,56.1283,0.37107,0.50752,0.80453,0.998,1,0.995,0.90352,0.39917,0.36161,0.76091,7.94e-05,7.94e-05,7.94e-05
99,56.6943,0.42743,0.55979,0.79951,0.99802,1,0.995,0.90891,0.40185,0.36582,0.76064,5.96e-05,5.96e-05,5.96e-05
100,57.2554,0.36922,0.52289,0.79261,0.99805,1,0.995,0.90469,0.40306,0.36274,0.76091,3.98e-05,3.98e-05,3.98e-05
